Date,Open,High,Low,Close,Adj_Close,Volume,Day
10/2/2013,168.350006,169.339996,167.830002,169.179993,141.008362,113350000,0
10/3/2013,168.789993,168.940002,166.839996,167.619995,139.708145,176698000,1
10/4/2013,167.75,169.059998,167.529999,168.889999,140.766663,96878000,2
10/7/2013,167.419998,168.449997,167.25,167.429993,139.549759,96295000,3
10/8/2013,167.399994,167.619995,165.360001,165.479996,137.924423,178015000,4
10/9/2013,165.800003,166.199997,164.529999,165.600006,138.024551,168973000,5
10/10/2013,167.289993,169.259995,167.229996,169.169998,141,195955000,6
10/11/2013,168.910004,170.320007,168.770004,170.259995,141.908524,105040000,7
10/14/2013,169.210007,171.080002,169.080002,170.940002,142.475327,112106000,8
10/15/2013,170.509995,171.149994,169.470001,169.699997,141.441818,155485000,9
10/16/2013,170.720001,172.160004,170.639999,172.070007,143.41713,161676000,10
10/17/2013,171.369995,173.320007,171.339996,173.220001,144.375641,129389000,11
10/18/2013,173.860001,174.509995,173.509995,174.389999,145.350815,138316000,12
10/21/2013,174.449997,174.75,174.009995,174.399994,145.359146,104104000,13
10/22/2013,174.910004,175.929993,174.429993,175.410004,146.200974,126663000,14
10/23/2013,174.809998,174.889999,173.960007,174.570007,145.500854,105484000,15
10/24/2013,174.919998,175.369995,174.509995,175.149994,145.984207,70350000,16
10/25/2013,175.509995,176,175.169998,175.949997,146.651077,93625000,17
10/28/2013,175.889999,176.470001,175.699997,176.229996,146.88443,84979000,18
10/29/2013,176.630005,177.240005,176.380005,177.169998,147.667877,87401000,19
10/30/2013,177.380005,177.509995,175.660004,176.289993,146.934448,140002000,20
10/31/2013,176.149994,176.889999,175.529999,175.789993,146.51767,133795000,21
11/1/2013,176.020004,176.610001,175.220001,176.210007,146.867722,142805000,22
11/4/2013,176.690002,176.899994,175.979996,176.830002,147.384445,85677000,23
11/5/2013,176.139999,176.75,175.570007,176.270004,146.917786,85825000,24
11/6/2013,177.029999,177.5,176.539993,177.169998,147.667877,87348000,25
11/7/2013,177.5,177.639999,174.759995,174.929993,145.800888,157000000,26
11/8/2013,174.869995,177.309998,174.850006,177.289993,147.767883,136713000,27
11/11/2013,177.119995,177.529999,176.910004,177.320007,147.792953,62614000,28
11/12/2013,176.940002,177.360001,176.369995,176.960007,147.492905,83990000,29
11/13/2013,176.089996,178.429993,176.089996,178.380005,148.676392,103844000,30
11/14/2013,178.539993,179.419998,178.25,179.270004,149.418213,103435000,31
11/15/2013,179.559998,180.119995,179.330002,180.050003,150.068298,102818000,32
11/18/2013,180.350006,180.5,179.020004,179.419998,149.543182,104796000,33
11/19/2013,179.330002,179.869995,178.720001,179.029999,149.21817,93891000,34
11/20/2013,179.389999,179.929993,177.979996,178.470001,148.751419,124909000,35
11/21/2013,178.970001,180.050003,178.860001,179.910004,149.951645,92841000,36
11/22/2013,179.979996,180.830002,179.770004,180.809998,150.701767,81296000,37
11/25/2013,181.130005,181.169998,180.369995,180.630005,150.551758,79486000,38
11/26/2013,180.720001,181.220001,180.410004,180.679993,150.593399,86994000,39
11/27/2013,180.869995,181.240005,180.649994,181.119995,150.960114,58800000,40
11/29/2013,181.320007,181.75,180.800003,181,150.860092,55870900,41
12/2/2013,181.089996,181.429993,180.25,180.529999,150.468369,99726000,42
12/3/2013,179.940002,180.389999,179.169998,179.75,149.818268,116563000,43
12/4/2013,179.100006,180.479996,178.350006,179.729996,149.801544,123033000,44
12/5/2013,179.410004,179.740005,178.770004,178.940002,149.143188,106934000,45
12/6/2013,180.669998,181.110001,180.149994,180.940002,150.810104,127728000,46
12/9/2013,181.470001,181.669998,181.160004,181.399994,151.193481,70124000,47
12/10/2013,180.979996,181.360001,180.639999,180.75,150.651779,80976000,48
12/11/2013,180.820007,180.850006,178.5,178.720001,148.959808,130591000,49
12/12/2013,178.639999,178.860001,177.759995,178.130005,148.468048,115565000,50
12/13/2013,178.5,178.660004,177.770004,178.110001,148.451355,107808000,51
12/16/2013,178.949997,179.809998,178.899994,179.220001,149.376526,96195000,52
12/17/2013,179.380005,179.410004,178.25,178.649994,148.901459,89886000,53
12/18/2013,178.919998,181.729996,177.320007,181.699997,151.443558,234906000,54
12/19/2013,181.179993,181.699997,180.710007,181.490005,151.268585,136531200,55
12/20/2013,180.690002,181.990005,180.570007,181.559998,152.148453,197087000,56
12/23/2013,182.449997,182.639999,182.070007,182.529999,152.961319,85598000,57
12/24/2013,182.539993,183.009995,182.529999,182.929993,153.296494,45368800,58
12/26/2013,183.339996,183.960007,183.320007,183.860001,154.075851,63365000,59
12/27/2013,184.100006,184.179993,183.660004,183.850006,154.067459,61814000,60
12/30/2013,183.869995,184.020004,183.580002,183.820007,154.042358,56857000,61
12/31/2013,184.070007,184.690002,183.929993,184.690002,154.771408,86119900,62
1/2/2014,183.979996,184.070007,182.479996,182.919998,153.288162,119636900,63
1/3/2014,183.229996,183.600006,182.630005,182.889999,153.26297,81390600,64
1/6/2014,183.490005,183.559998,182.080002,182.360001,152.818863,108028200,65
1/7/2014,183.089996,183.789993,182.949997,183.479996,153.757355,86144200,66
1/8/2014,183.449997,183.830002,182.889999,183.520004,153.79097,96582300,67
1/9/2014,184.110001,184.130005,182.800003,183.639999,153.89151,90683400,68
1/10/2014,183.949997,184.220001,183.009995,184.139999,154.310471,102026400,69
1/13/2014,183.669998,184.179993,181.339996,181.690002,152.257339,149892000,70
1/14/2014,182.289993,183.770004,181.949997,183.669998,153.916626,105016100,71
1/15/2014,184.100006,184.940002,183.710007,184.660004,154.746262,98525800,72
1/16/2014,184.279999,184.660004,183.830002,184.419998,154.545074,72290600,73
1/17/2014,184.100006,184.449997,183.320007,183.639999,153.89151,107848700,74
1/21/2014,184.699997,184.770004,183.050003,184.179993,154.344025,88621200,75
